Codigo,Familia,Genero,Especie ,Nombre completo ,100_A.,100_B.,102_B.,201_A.,201_B.,201_C.,204_A.,207_A.,230_A.,231_A.,232_A.,232_B.,234_A.,301_B.,301_C.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,332_B.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
FC_0095,Fabaceae,Leucaena,leucocephala,Leucaena leucocephala,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,,pentamerous,pentamerous,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
FC_0096,Lauraceae,Licaria,capitata,Licaria capitata,bisexual,bisexual,superior,present,six to ten (6-10),one to six (1-6),fused (>5%),actinomorphic,whorled,two (2),trimerous,trimerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),introrse,basifixed,flap-valvate,whorled,more than two (>2),trimerous,trimerous,whorled,two (2),,one (1),absent,N/A,N/A
FC_0097,Altingiaceae,Liquidambar,styraciflua,Liquidambar styraciflua,unisexual,bisexual,inferior,absent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,more than ten (>10),more than six (>6),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),dimerous,tetramerous,whorled,two (2),,one (1),absent,N/A,N/A
FC_0098,Altingiaceae,Liquidambar,styraciflua,Liquidambar styraciflua,unisexual,unisexual,N/A,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),extrorse,basifixed,longitudinal slit,whorled,one (1),dimerous,tetramerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0099,Fabaceae,Lonchocarpus,cruentus,Lonchocarpus cruentus,bisexual,bisexual,superior,present,one to five (1-5),one to six (1-6),fused (>5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,N/A,whorled,one (1),N/A,one (1),absent,N/A,N/A
FC_0100,Fabaceae,Lonchocarpus,guatemalensis,Lonchocarpus guatemalensis,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
FC_0101,Fabaceae,Lonchocarpus,heptaphyllus,Lonchocarpus heptaphyllus,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),fused (>5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,N/A,whorled,one (1),N/A,,present,,interestaminal
FC_0102,Fabaceae,Lonchocarpus,santarosanus,Lonchocarpus santarosanus,bisexual,bisexual,superior,present,one to five (1-5),one to six (1-6),fused (>5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,N/A,whorled,one (1),N/A,two (2),absent,N/A,N/A
FC_0103,Fabaceae,Muellera,unifoliolata,Muellera unifoliolata,bisexual,bisexual,,present,six to ten (6-10),more than six (>6),free (<5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),,basifixed,longitudinal slit,whorled,one (1),N/A,N/A,whorled,one (1),N/A,one (1),absent,N/A,N/A
FC_0104,Malvaceae,Luehea,speciosa,Luehea speciosa,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,two (2),N/A,N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
FC_0105,Salicaceae,Lunania,mexicana,Lunania mexicana,unisexual,unisexual,superior,present,one to five (1-5),one to six (1-6),free (<5%),actinomorphic,whorled,one (1),dimerous,N/A,undifferentiated,six to ten (6-10),more than six (>6),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,two (2),pentamerous,pentamerous,whorled,three (3),fused (>5%),three or more (>2),absent,N/A,N/A
