Numero,Orden,Familia,Genero,Especie ,Nombre completo ,,100_A.,100_B.,102_B.,201_A.,201_B.,204_A.,207_A.,230_A.,231_A.,232_A.,234_A.,tepalos,caliz,corola,301_B.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
112,Fabales,Fabaceae,Dialium,guianense,Dialium guianense,Dialium guianense,bisexual,bisexual,inferior,present,one to five (1-5),fused (>5%),zygomorphic,whorled,one (1),pentamerous,undifferentiated,5,0,0,one to five (1-5),typical (narrow),latrorse,basifixed,H-valvate,whorled,one (1),dimerous,whorled,one (1),N/A,one (1),present,discoidal,intraestaminal
113,Fabales,Fabaceae,Dussia,mexicana,Dussia mexicana,Dussia mexicana,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),,dorsifixed,,whorled,one (1),,whorled,one (1),N/A,one (1),absent,N/A,N/A
114,Fabales,Fabaceae,Enterolobium,cyclocarpum,Enterolobium cyclocarpum,Enterolobium cyclocarpum,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,6,5,more than ten (>10),typical (narrow),,,,whorled,one (1),N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
115,Fabales,Fabaceae,Enterolobium,cyclocarpum,Enterolobium cyclocarpum,Enterolobium cyclocarpum,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,,,whorled,one (1),N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
116,Fabales,Fabaceae,Enterolobium,cyclocarpum,Enterolobium cyclocarpum,Enterolobium cyclocarpum,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,dorsifixed,,whorled,more than two (>2),N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
117,Fabales,Fabaceae,Erythrina,folkersii,Erythrina folkersii,Erythrina folkersii,bisexual,bisexual,inferior,present,more than ten (>10),fused (>5%),zygomorphic,whorled,two (2),N/A,differentiated,0,2,5,more than ten (>10),typical (narrow),,,,,,N/A,whorled,one (1),N/A,one (1),absent,N/A,N/A
118,Fabales,Fabaceae,Gliricidia,sepium,Gliricidia sepium,Gliricidia sepium,bisexual,bisexual,superior,present,one to five (1-5),fused (>5%),zygomorphic,whorled,two (2),dimerous,differentiated,0,1,2,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
119,Fabales,Fabaceae,Inga,acrocephala,Inga acrocephala,Inga acrocephala,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,7,5,more than ten (>10),typical (narrow),,basifixed,,whorled,more than two (>2),N/A,whorled,one (1),N/A,one (1),present,glandular,
120,Fabales,Fabaceae,Inga,acrocephala,Inga acrocephala,Inga acrocephala,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,6,5,more than ten (>10),typical (narrow),,basifixed,,whorled,more than two (>2),N/A,whorled,one (1),N/A,one (1),present,glandular,
121,Fabales,Fabaceae,Inga,acrocephala,Inga acrocephala,Inga acrocephala,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,basifixed,,whorled,more than two (>2),N/A,whorled,one (1),N/A,one (1),present,glandular,
