Familia,Genero,Especie ,Nombre completo ,,100_A.,100_B.,102_B.,201_A.,201_B.,204_A.,207_A.,230_A.,231_A.,232_A.,234_A.,tepalos,caliz,corola,301_B.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
Polygonaceae,Coccoloba,barbadensis,Coccoloba barbadensis,Coccoloba barbadensis,unisexual,bisexual,superior,present,one to five (1-5),fused (>5%),actinomorphic,whorled,one (1),pentamerous,undifferentiated,5,0,0,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),tetramerous,whorled,three (3),fused (>5%),,absent,N/A,N/A
Fabaceae,Cojoba,arborea,Cojoba arborea,Cojoba arborea,bisexual,bisexual,superior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,,,,,,whorled,one (1),N/A,three or more (>2),present,glandular,intraestaminal
Boraginaceae,Cordia,alliodora,Cordia alliodora,Cordia alliodora,bisexual,bisexual,superior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),latrorse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,two (2),fused (>5%),,absent,N/A,N/A
Boraginaceae,Cordia,dodecandra,Cordia dodecandra,Cordia dodecandra,bisexual,bisexual,inferior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,four or five (4-5),fused (>5%),one (1),present,,
Boraginaceae,Cordia,megalantha,Cordia megalantha,Cordia megalantha,bisexual,bisexual,superior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),,,,whorled,one (1),pentamerous,whorled,,fused (>5%),,absent,N/A,N/A
Chrysobalanaceae,Couepia,polyandra,Couepia polyandra,Couepia polyandra,bisexual,bisexual,superior,present,,fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,,,whorled,one (1),N/A,whorled,one (1),fused (>5%),,absent,N/A,N/A
Chrysobalanaceae,Couepia,polyandra,Couepia polyandra,Couepia polyandra,bisexual,bisexual,superior,present,,fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,4,4,more than ten (>10),typical (narrow),,,,whorled,one (1),N/A,whorled,one (1),fused (>5%),,absent,N/A,N/A
Capparaceae,Crateva,tapia,Crateva tapia,Crateva tapia,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,4,4,more than ten (>10),typical (narrow),,,,whorled,one (1),N/A,whorled,one (1),N/A,,absent,N/A,N/A
Bignoniaceae,Crescentia,cujete,Crescentia cujete,Crescentia cujete,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),trimerous,differentiated,0,2,5,one to five (1-5),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),trimerous,whorled,four or five (4-5),fused (>5%),three or more (>2),present,discoidal,intraestaminal
Euphorbiaceae,Croton,draco,Croton draco,Croton draco,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),extrorse,,,whorled,more than two (>2),N/A,N/A,N/A,N/A,N/A,present,glandular,interestaminal
Euphorbiaceae,Croton,draco,Croton draco,Croton draco,unisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),extrorse,,,,one (1),pentamerous,whorled,three (3),fused (>5%),one (1),present,glandular,interestaminal
Euphorbiaceae,Croton,schiedeanus,Croton schiedeanus,Croton schiedeanus,unisexual,unisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),one (1),present,,extraestaminal
